country,continent,year,lifeExp,pop,gdpPercap,total_gdp_usd,iso_alpha,iso_num
Argentina,Americas,1997,73.275,36203463,10967.28195,397053586287.3929,ARG,32
Argentina,Americas,2002,74.34,38331121,8797.640716,337223430799.52264,ARG,32
Argentina,Americas,2007,75.32,40301927,12779.37964,515033625356.5662,ARG,32
Australia,Oceania,1952,69.12,8691212,10039.59564,87256254101.51567,AUS,36
Australia,Oceania,1957,70.33,9712569,10949.64959,106349227168.69672,AUS,36
Australia,Oceania,1962,70.93,10794968,12217.22686,131884573002.44049,AUS,36
Australia,Oceania,1967,71.1,11872264,14526.12465,172457986741.7076,AUS,36
Australia,Oceania,1972,71.93,13177000,16788.62948,221223770657.96,AUS,36
Australia,Oceania,1977,73.49,14074100,18334.19751,258037329175.49103,AUS,36
Australia,Oceania,1982,74.74,15184200,19477.00928,295742804309.376,AUS,36
Australia,Oceania,1987,76.32,16257249,21888.88903,355853119294.0784,AUS,36
Australia,Oceania,1992,77.56,17481977,23424.76683,409511234952.4229,AUS,36
Australia,Oceania,1997,78.83,18565243,26997.93657,501223252920.63654,AUS,36
Australia,Oceania,2002,80.37,19546792,30687.75473,599847158654.3262,AUS,36
Australia,Oceania,2007,81.235,20434176,34435.367439999995,703658358893.6293,AUS,36
Austria,Europe,1952,66.8,6927772,6137.076492,42516266683.135826,AUT,40
Austria,Europe,1957,67.48,6965860,8842.59803,61596299913.25579,AUT,40
Austria,Europe,1962,69.54,7129864,10750.72111,76651179416.22905,AUT,40
Austria,Europe,1967,70.14,7376998,12834.6024,94680836235.5952,AUT,40
Austria,Europe,1972,70.63,7544201,16661.6256,125698652513.1456,AUT,40
Austria,Europe,1977,72.17,7568430,19749.4223,149472120217.98898,AUT,40
Austria,Europe,1982,73.18,7574613,21597.08362,163589550350.13907,AUT,40
Austria,Europe,1987,74.94,7578903,23687.82607,179527736065.4012,AUT,40
Austria,Europe,1992,76.04,7914969,27042.01868,214036739549.62094,AUT,40
Austria,Europe,1997,77.51,8069876,29095.920660000003,234800471832.03818,AUT,40
Austria,Europe,2002,78.98,8148312,32417.60769,264148781751.7193,AUT,40
Austria,Europe,2007,79.829,8199783,36126.4927,296229400691.0841,AUT,40
Bahrain,Asia,1952,50.93899999999999,120447,9867.084765,1188460758.689955,BHR,48
Bahrain,Asia,1957,53.832,138655,11635.79945,1613361772.7397501,BHR,48
Bahrain,Asia,1962,56.923,171863,12753.27514,2191816125.38582,BHR,48
Bahrain,Asia,1967,59.923,202182,14804.6727,2993238335.8314,BHR,48
Bahrain,Asia,1972,63.3,230800,18268.65839,4216406356.412,BHR,48
Bahrain,Asia,1977,65.593,297410,19340.10196,5751939723.9236,BHR,48
Bahrain,Asia,1982,69.05199999999999,377967,19211.14731,7261179715.31877,BHR,48
Bahrain,Asia,1987,70.75,454612,18524.02406,8421243625.96472,BHR,48
Bahrain,Asia,1992,72.601,529491,19035.57917,10079167850.302471,BHR,48
Bahrain,Asia,1997,73.925,598561,20292.01679,12146009861.839191,BHR,48
Bahrain,Asia,2002,74.795,656397,23403.55927,15362026094.15019,BHR,48
Bahrain,Asia,2007,75.635,708573,29796.04834,21112675360.41882,BHR,48
Bangladesh,Asia,1952,37.484,46886859,684.2441716,32082059995.381004,BGD,50
Bangladesh,Asia,1957,39.348,51365468,661.6374577,33985317661.090706,BGD,50
Bangladesh,Asia,1962,41.216,56839289,686.3415537999998,39011165929.14724,BGD,50
Bangladesh,Asia,1967,43.453,62821884,721.1860862000002,45306268649.67041,BGD,50
Bangladesh,Asia,1972,45.252,70759295,630.2336265,44594887096.43332,BGD,50
Bangladesh,Asia,1977,46.923,80428306,659.8772322000002,53072807953.81467,BGD,50
Bangladesh,Asia,1982,50.00899999999999,93074406,676.9818656,63009685013.49184,BGD,50
Bangladesh,Asia,1987,52.819,103764241,751.9794035,78028572051.81024,BGD,50
Bangladesh,Asia,1992,56.018,113704579,837.8101642999999,95262852013.65231,BGD,50
Bangladesh,Asia,1997,59.412,123315288,972.7700352,119957417048.45815,BGD,50
Bangladesh,Asia,2002,62.01300000000001,135656790,1136.3904300000004,154159077920.51974,BGD,50
Bangladesh,Asia,2007,64.062,150448339,1391.253792,209311822133.85147,BGD,50
Belgium,Europe,1952,68.0,8730405,8343.105126999999,72838686716.28642,BEL,56
Belgium,Europe,1957,69.24,8989111,9714.960623,87328859400.77615,BEL,56
Belgium,Europe,1962,70.25,9218400,10991.20676,101321340396.38399,BEL,56
Belgium,Europe,1967,70.94,9556500,13149.04119,125658812132.235,BEL,56
Belgium,Europe,1972,71.44,9709100,16672.14356,161871509038.396,BEL,56
Belgium,Europe,1977,72.8,9821800,19117.97448,187772921747.664,BEL,56
Belgium,Europe,1982,73.93,9856303,20979.84589,206783717985.14468,BEL,56
Belgium,Europe,1987,75.35,9870200,22525.56308,222331812712.216,BEL,56
Belgium,Europe,1992,76.46,10045622,25575.57069,256922515586.0192,BEL,56
Belgium,Europe,1997,77.53,10199787,27561.19663,281118335091.1178,BEL,56
Belgium,Europe,2002,78.32,10311970,30485.88375,314369518653.4875,BEL,56
Belgium,Europe,2007,79.441,10392226,33692.60508,350141166520.1081,BEL,56
Benin,Africa,1952,38.223,1738315,1062.7522,1847398090.5429997,BEN,204
Benin,Africa,1957,40.358,1925173,959.6010805,1847398090.9494264,BEN,204
Benin,Africa,1962,42.618,2151895,949.4990641,2043222288.5414696,BEN,204
Benin,Africa,1967,44.885,2427334,1035.831411,2514308802.188274,BEN,204
Benin,Africa,1972,47.014,2761407,1085.796879,2998327102.248753,BEN,204
Benin,Africa,1977,49.19,3168267,1029.161251,3260657629.222017,BEN,204
Benin,Africa,1982,50.904,3641603,1277.897616,4653595792.118448,BEN,204
Benin,Africa,1987,52.337,4243788,1225.85601,5202273024.965879,BEN,204
Benin,Africa,1992,53.919,4981671,1191.207681,5934204759.414951,BEN,204
Benin,Africa,1997,54.777,6066080,1232.975292,7479326759.295361,BEN,204
Benin,Africa,2002,54.40600000000001,7026113,1372.877931,9645995478.412203,BEN,204
Benin,Africa,2007,56.728,8078314,1441.284873,11643151767.544123,BEN,204
Bolivia,Americas,1952,40.414,2883315,2677.326347,7719575216.200306,BOL,68
Bolivia,Americas,1957,41.89,3211738,2127.686326,6833571025.294588,BOL,68
Bolivia,Americas,1962,43.428,3593918,2180.972546,7838236490.575228,BOL,68
Bolivia,Americas,1967,45.032,4040665,2586.886053,10452739933.345245,BOL,68
Bolivia,Americas,1972,46.714,4565872,2980.331339,13607811411.462606,BOL,68
Bolivia,Americas,1977,50.023,5079716,3548.097832,18023329326.77571,BOL,68
Bolivia,Americas,1982,53.859,5642224,3156.510452,17809739028.52525,BOL,68
Bolivia,Americas,1987,57.25100000000001,6156369,2753.69149,16952740924.599812,BOL,68
Bolivia,Americas,1992,59.957,6893451,2961.699694,20416331717.303993,BOL,68
Bolivia,Americas,1997,62.05,7693188,3326.143191,25588644883.28291,BOL,68
Bolivia,Americas,2002,63.883,8445134,3413.26269,28825460794.25046,BOL,68
Bolivia,Americas,2007,65.554,9119152,3822.137084,34854649033.83277,BOL,68
Bosnia and Herzegovina,Europe,1952,53.82,2791000,973.5331948,2717131146.6868,BIH,70
Bosnia and Herzegovina,Europe,1957,58.45,3076000,1353.989176,4164870705.376,BIH,70
Bosnia and Herzegovina,Europe,1962,61.93,3349000,1709.683679,5725730640.971,BIH,70
Bosnia and Herzegovina,Europe,1967,64.79,3585000,2172.3524230000007,7787883436.455003,BIH,70
Bosnia and Herzegovina,Europe,1972,67.45,3819000,2860.16975,10922988275.25,BIH,70
Bosnia and Herzegovina,Europe,1977,69.86,4086000,3528.481305,14417374612.23,BIH,70
Bosnia and Herzegovina,Europe,1982,70.69,4172693,4126.613157,17219089833.9218,BIH,70
Bosnia and Herzegovina,Europe,1987,71.14,4338977,4314.114757,18718844705.98359,BIH,70
Bosnia and Herzegovina,Europe,1992,72.178,4256013,2546.781445,10839134938.078785,BIH,70
Bosnia and Herzegovina,Europe,1997,73.244,3607000,4766.355904,17192245745.728,BIH,70
Bosnia and Herzegovina,Europe,2002,74.09,4165416,6018.975239,25071535764.134426,BIH,70
Bosnia and Herzegovina,Europe,2007,74.852,4552198,7446.298803,33897026518.41899,BIH,70
Botswana,Africa,1952,47.622,442308,851.2411407,376510766.46073556,BWA,72
Botswana,Africa,1957,49.618,474639,918.2325349,435828972.1324011,BWA,72
Botswana,Africa,1962,51.52,512764,983.6539764,504382347.55476964,BWA,72
Botswana,Africa,1967,53.298,553541,1214.709294,672391397.310054,BWA,72
Botswana,Africa,1972,56.024,619351,2263.6111140000007,1401969807.0670145,BWA,72
Botswana,Africa,1977,59.319,781472,3214.857818,2512321368.748096,BWA,72
Botswana,Africa,1982,61.484,970347,4551.14215,4416187131.82605,BWA,72
Botswana,Africa,1987,63.622,1151184,6205.88385,7144114193.9784,BWA,72
Botswana,Africa,1992,62.745,1342614,7954.111645,10679301652.14003,BWA,72
Botswana,Africa,1997,52.556,1536536,8647.142313,13286645461.047768,BWA,72
Botswana,Africa,2002,46.63399999999999,1630347,11003.60508,17939694531.36276,BWA,72
Botswana,Africa,2007,50.728,1639131,12569.85177,20603633701.61187,BWA,72
Brazil,Americas,1952,50.917,56602560,2108.944355,119371649390.5488,BRA,76
Brazil,Americas,1957,53.285,65551171,2487.365989,163049753284.5231,BRA,76
Brazil,Americas,1962,55.665,76039390,3336.585802,253711949066.74078,BRA,76
Brazil,Americas,1967,57.632,88049823,3429.864357,301998949547.8588,BRA,76
Brazil,Americas,1972,59.504,100840058,4985.711467,502759433503.5451,BRA,76
Brazil,Americas,1977,61.489,114313951,6660.118654,761344477467.542,BRA,76
Brazil,Americas,1982,63.33600000000001,128962939,7030.835878,906717258453.5254,BRA,76
Brazil,Americas,1987,65.205,142938076,7807.095818000002,1115931255372.5664,BRA,76
Brazil,Americas,1992,67.057,155975974,6950.283020999998,1084077163776.1372,BRA,76
Brazil,Americas,1997,69.388,168546719,7957.980823999998,1341291557750.1162,BRA,76
Brazil,Americas,2002,71.006,179914212,8131.212843000001,1462920751252.625,BRA,76
Brazil,Americas,2007,72.39,190010647,9065.800825,1722598680331.3838,BRA,76
Bulgaria,Europe,1952,59.6,7274900,2444.286648,17781940935.5352,BGR,100
Bulgaria,Europe,1957,66.61,7651254,3008.670727,23020103934.64166,BGR,100
Bulgaria,Europe,1962,69.51,8012946,4254.337839,34089779369.663692,BGR,100
Bulgaria,Europe,1967,70.42,8310226,5577.0028,46346153670.632805,BGR,100
Bulgaria,Europe,1972,70.9,8576200,6597.494398,56581431456.1276,BGR,100
Bulgaria,Europe,1977,70.81,8797022,7612.240438,66965046602.37563,BGR,100
Bulgaria,Europe,1982,71.08,8892098,8224.191647,73130318095.9054,BGR,100
Bulgaria,Europe,1987,71.34,8971958,8239.854824,73927631407.02539,BGR,100
Bulgaria,Europe,1992,71.19,8658506,6302.623438000001,54571302853.66364,BGR,100
Bulgaria,Europe,1997,70.32,8066057,5970.38876,48157496050.31932,BGR,100
Bulgaria,Europe,2002,72.14,7661799,7696.777725,58971163876.62727,BGR,100
Bulgaria,Europe,2007,73.005,7322858,10680.79282,78213929148.27957,BGR,100
Burkina Faso,Africa,1952,31.975,4469979,543.2552413,2428339520.2509327,BFA,854
Burkina Faso,Africa,1957,34.906,4713416,617.1834647999998,2909042417.9237556,BFA,854
Burkina Faso,Africa,1962,37.814,4919632,722.5120206,3554493256.928419,BFA,854
Burkina Faso,Africa,1967,40.697,5127935,794.8265597,4075818934.4152193,BFA,854
Burkina Faso,Africa,1972,43.591,5433886,854.7359763000002,4644537855.312902,BFA,854
Burkina Faso,Africa,1977,46.137,5889574,743.3870368,4378232963.874324,BFA,854
Burkina Faso,Africa,1982,48.122,6634596,807.1985855,5355436506.563958,BFA,854
Burkina Faso,Africa,1987,49.557,7586551,912.0631417,6919413539.727277,BFA,854
Burkina Faso,Africa,1992,50.26,8878303,931.7527731,8272383440.6720495,BFA,854
Burkina Faso,Africa,1997,50.324,10352843,946.2949618,9796843171.206398,BFA,854
Burkina Faso,Africa,2002,50.65,12251209,1037.645221,12712408470.32219,BFA,854
Burkina Faso,Africa,2007,52.295,14326203,1217.032994,17435461729.74178,BFA,854
Burundi,Africa,1952,39.031,2445618,339.2964587,829789526.7329767,BDI,108
Burundi,Africa,1957,40.533,2667518,379.5646281000001,1012495477.620056,BDI,108
Burundi,Africa,1962,42.045,2961915,355.2032273,1052081766.9882795,BDI,108
Burundi,Africa,1967,43.548,3330989,412.97751360000007,1375623555.0489507,BDI,108
Burundi,Africa,1972,44.057,3529983,464.0995039,1638263359.0754337,BDI,108
Burundi,Africa,1977,45.91,3834415,556.1032651,2132330701.2484167,BDI,108
Burundi,Africa,1982,47.471,4580410,559.6032309999998,2563212235.304709,BDI,108
Burundi,Africa,1987,48.21100000000001,5126023,621.8188188999999,3187457567.514234,BDI,108
Burundi,Africa,1992,44.736,5809236,631.6998778,3669693671.311361,BDI,108
Burundi,Africa,1997,45.326,6121610,463.1151478,2835010319.923958,BDI,108
Burundi,Africa,2002,47.36,7021078,446.4035126,3134233881.438583,BDI,108
Burundi,Africa,2007,49.58,8390505,430.0706916,3608510288.223258,BDI,108
Cambodia,Asia,1952,39.417,4693836,368.4692856,1729534397.6435616,KHM,116
Cambodia,Asia,1957,41.36600000000001,5322536,434.0383364,2310184670.8691106,KHM,116
Cambodia,Asia,1962,43.415,6083619,496.9136476,3023033307.8986645,KHM,116
Cambodia,Asia,1967,45.415,6960067,523.4323142,3643123976.797051,KHM,116
Cambodia,Asia,1972,40.317,7450606,421.6240257,3141354495.624574,KHM,116
Cambodia,Asia,1977,31.22,6978607,524.9721831999999,3663574552.484802,KHM,116
Cambodia,Asia,1982,50.957,7272485,624.4754784,4541488549.531824,KHM,116
Cambodia,Asia,1987,53.914,8371791,683.8955732000002,5725430804.655602,KHM,116
Cambodia,Asia,1992,55.803,10150094,682.3031755,6925441367.823497,KHM,116
Cambodia,Asia,1997,56.534,11782962,734.28517,8652054255.27354,KHM,116
Cambodia,Asia,2002,56.752,12926707,896.2260152999999,11585251105.560616,KHM,116
Cambodia,Asia,2007,59.723,14131858,1713.778686,24218877033.97859,KHM,116
Cameroon,Africa,1952,38.523,5009067,1172.667655,5873970852.627885,CMR,120
Cameroon,Africa,1957,40.428,5359923,1313.048099,7037836705.936378,CMR,120
Cameroon,Africa,1962,42.643,5793633,1399.607441,8108811857.223154,CMR,120
Cameroon,Africa,1967,44.799,6335506,1508.453148,9556813969.872889,CMR,120
Cameroon,Africa,1972,47.049,7021028,1684.1465280000002,11824439929.190786,CMR,120
Cameroon,Africa,1977,49.355,7959865,1783.432873,14195884905.642145,CMR,120
Cameroon,Africa,1982,52.96100000000001,9250831,2367.983282,21905813152.60734,CMR,120
Cameroon,Africa,1987,54.985,10780667,2602.664206,28058456117.705402,CMR,120
Cameroon,Africa,1992,54.31399999999999,12467171,1793.1632780000002,22355673217.74654,CMR,120
Cameroon,Africa,1997,52.199,14195809,1694.337469,24052491091.467422,CMR,120
Cameroon,Africa,2002,49.856,15929988,1934.011449,30808779174.432613,CMR,120
Cameroon,Africa,2007,50.43,17696293,2042.09524,36137515700.94532,CMR,120
Canada,Americas,1952,68.75,14785584,11367.16112,168070115581.2941,CAN,124
Canada,Americas,1957,69.96,17010154,12489.95006,212455973972.90924,CAN,124
Canada,Americas,1962,71.3,18985849,13462.48555,255596717816.98193,CAN,124
Canada,Americas,1967,72.13,20819767,16076.58803,334710816939.58905,CAN,124
Canada,Americas,1972,72.88,22284500,18970.57086,422749686329.67,CAN,124
Canada,Americas,1977,74.21,23796400,22090.88306,525683489648.984,CAN,124
Canada,Americas,1982,75.76,25201900,22898.79214,577093069633.066,CAN,124
Canada,Americas,1987,76.86,26549700,26626.51503,706925986091.991,CAN,124
Canada,Americas,1992,77.95,28523502,26342.88426,751391311875.8785,CAN,124
Canada,Americas,1997,78.61,30305843,28954.92589,877503438098.9752,CAN,124
Canada,Americas,2002,79.77,31902268,33328.96507,1063269575825.7787,CAN,124
Canada,Americas,2007,80.653,33390141,36319.23501,1212704377996.0364,CAN,124
Central African Republic,Africa,1952,35.463,1291695,1071.310713,1383806691.428535,CAF,140
Central African Republic,Africa,1957,37.464,1392284,1190.844328,1657993504.365152,CAF,140
Central African Republic,Africa,1962,39.475,1523478,1193.068753,1817613997.682934,CAF,140
Central African Republic,Africa,1967,41.478,1733638,1136.056615,1969510917.91537,CAF,140
Central African Republic,Africa,1972,43.457,1927260,1070.013275,2062193784.3765001,CAF,140
Central African Republic,Africa,1977,46.775,2167533,1109.374338,2404605486.968154,CAF,140
Central African Republic,Africa,1982,48.295,2476971,956.7529907,2369849412.1271696,CAF,140
Central African Republic,Africa,1987,50.485,2840009,844.8763504000002,2399456439.0231543,CAF,140
Central African Republic,Africa,1992,49.396,3265124,747.9055252,2442004280.063125,CAF,140
Central African Republic,Africa,1997,46.066,3696513,740.5063317,2737291281.7113624,CAF,140
Central African Republic,Africa,2002,43.308,4048013,738.6906068,2990229179.3042884,CAF,140
Central African Republic,Africa,2007,44.74100000000001,4369038,706.016537,3084613078.781406,CAF,140
Chad,Africa,1952,38.092,2682462,1178.665927,3161726559.872274,TCD,148
Chad,Africa,1957,39.881,2894855,1308.495577,3787904963.556335,TCD,148
Chad,Africa,1962,41.716,3150417,1389.817618,4378505050.646707,TCD,148
Chad,Africa,1967,43.601000000000006,3495967,1196.810565,4184010240.491355,TCD,148
Chad,Africa,1972,45.569,3899068,1104.103987,4304976524.384116,TCD,148
Chad,Africa,1977,47.383,4388260,1133.98495,4976220796.687,TCD,148
Chad,Africa,1982,49.517,4875118,797.9081006,3889896143.5808706,TCD,148
Chad,Africa,1987,51.051,5498955,952.386129,5237128465.995194,TCD,148
Chad,Africa,1992,51.724,6429417,1058.0643,6802736597.5131,TCD,148
Chad,Africa,1997,51.573,7562011,1004.961353,7599528805.960883,TCD,148
Chad,Africa,2002,50.525,8835739,1156.18186,10215721151.49454,TCD,148
Chad,Africa,2007,50.651,10238807,1704.063724,17447579585.73727,TCD,148
Chile,Americas,1952,54.745,6377619,3939.978789,25127683584.32339,CHL,152
Chile,Americas,1957,56.074,7048426,4315.622723,30418347406.984,CHL,152
Chile,Americas,1962,57.924,7961258,4519.094331,35977675895.4284,CHL,152
Chile,Americas,1967,60.523,8858908,5106.654313,45239380746.670204,CHL,152
Chile,Americas,1972,63.441,9717524,5494.024437,53388314323.13399,CHL,152
Chile,Americas,1977,67.05199999999999,10599793,4756.763836,50420712011.48595,CHL,152
Chile,Americas,1982,70.565,11487112,5095.6657380000015,58534483046.96867,CHL,152
Chile,Americas,1987,72.492,12463354,5547.063754,69135019226.67091,CHL,152
Chile,Americas,1992,74.126,13572994,7596.125964,103102172132.61621,CHL,152
Chile,Americas,1997,75.816,14599929,10118.05318,147722858046.22424,CHL,152
Chile,Americas,2002,77.86,15497046,10778.78385,167039309147.5071,CHL,152
Chile,Americas,2007,78.553,16284741,13171.63885,214496727217.78784,CHL,152
China,Asia,1952,44.0,556263527,400.448611,222754956737.11102,CHN,156
China,Asia,1957,50.54896,637408000,575.9870009,367138722269.6672,CHN,156
China,Asia,1962,44.50136,665770000,487.6740183,324678731163.591,CHN,156
China,Asia,1967,58.38112,754550000,612.7056934,462317080954.97,CHN,156
China,Asia,1972,63.11888,862030000,676.9000921,583508186392.963,CHN,156
China,Asia,1977,63.96736,943455000,741.2374699,699324197164.5044,CHN,156
China,Asia,1982,65.525,1000281000,962.4213805,962691820907.9205,CHN,156
China,Asia,1987,67.274,1084035000,1378.904018,1494780217152.63,CHN,156
China,Asia,1992,68.69,1164970000,1655.784158,1928938870545.26,CHN,156
China,Asia,1997,70.426,1230075000,2289.234136,2815929679840.2,CHN,156
China,Asia,2002,72.028,1280400000,3119.280896,3993927259238.4004,CHN,156
China,Asia,2007,72.961,1318683096,4959.114854,6539500929092.309,CHN,156
Colombia,Americas,1952,50.643,12350771,2144.115096,26481474548.339016,COL,170
Colombia,Americas,1957,55.118,14485993,2323.805581,33662631379.726933,COL,170
Colombia,Americas,1962,57.863,17009885,2492.351109,42394605743.71247,COL,170
Colombia,Americas,1967,59.963,19764027,2678.729839,52942488863.70165,COL,170
Colombia,Americas,1972,61.62300000000001,22542890,3264.660041,73594872191.6585,COL,170
Colombia,Americas,1977,63.837,25094412,3815.80787,95755454802.62244,COL,170
Colombia,Americas,1982,66.653,27764644,4397.575659,122097122635.2004,COL,170
Colombia,Americas,1987,67.768,30964245,4903.2191,151824477501.0795,COL,170
Colombia,Americas,1992,68.421,34202721,5444.648617,186221797590.28687,COL,170
Colombia,Americas,1997,70.313,37657830,6117.361746000001,230366568679.37125,COL,170
Colombia,Americas,2002,71.682,41008227,5755.259962,236013006965.70737,COL,170
Colombia,Americas,2007,72.889,44227550,7006.580419,309883885810.34344,COL,170
Comoros,Africa,1952,40.715,153936,1102.990936,169790012.724096,COM,174
Comoros,Africa,1957,42.46,170928,1211.148548,207019199.01254398,COM,174
Comoros,Africa,1962,44.467,191689,1406.648278,269639001.76154196,COM,174
Comoros,Africa,1967,46.472,217378,1876.029643,407807571.736054,COM,174
Comoros,Africa,1972,48.944,250027,1937.577675,484446733.347225,COM,174
Comoros,Africa,1977,50.93899999999999,304739,1172.603047,357337879.939733,COM,174
Comoros,Africa,1982,52.933,348643,1267.100083,441765574.237369,COM,174
Comoros,Africa,1987,54.926,395114,1315.980812,519962442.552568,COM,174
Comoros,Africa,1992,57.93899999999999,454429,1246.90737,566630869.24173,COM,174
Comoros,Africa,1997,60.66,527982,1173.618235,619649302.95177,COM,174
Comoros,Africa,2002,62.974,614382,1075.811558,660959256.627156,COM,174
Comoros,Africa,2007,65.152,710960,986.1478792,701111696.196032,COM,174
"Congo, Dem. Rep.",Africa,1952,39.143,14100005,780.5423257,11005650695.081629,COD,180
"Congo, Dem. Rep.",Africa,1957,40.652,15577932,905.8602303,14111429069.11774,COD,180
"Congo, Dem. Rep.",Africa,1962,42.122,17486434,896.3146335000001,15673346681.931942,COD,180
"Congo, Dem. Rep.",Africa,1967,44.056,19941073,861.5932424,17181093743.005096,COD,180
"Congo, Dem. Rep.",Africa,1972,45.989,23007669,904.8960685,20819549223.449326,COD,180
"Congo, Dem. Rep.",Africa,1977,47.804,26480870,795.757282,21072345136.19534,COD,180
"Congo, Dem. Rep.",Africa,1982,47.784,30646495,673.7478181,20648009138.66256,COD,180
"Congo, Dem. Rep.",Africa,1987,47.412,35481645,672.774812,23871157044.32574,COD,180
"Congo, Dem. Rep.",Africa,1992,45.548,41672143,457.7191807,19074139151.97324,COD,180
"Congo, Dem. Rep.",Africa,1997,42.587,47798986,312.188423,14922290060.339079,COD,180
"Congo, Dem. Rep.",Africa,2002,44.966,55379852,241.1658765,13355730548.020277,COD,180
"Congo, Dem. Rep.",Africa,2007,46.462,64606759,277.5518587,17931726045.032955,COD,180
"Congo, Rep.",Africa,1952,42.111,854885,2125.621418,1817161865.9269302,COG,178
"Congo, Rep.",Africa,1957,45.053,940458,2315.056572,2177213473.589976,COG,178
